В каком году был опубликован знаменитый Тест Тьюринга в статье Алана Тьюринга?,1950,AI и ML
"В каком году компания DeepMind создала AlphaGo, победившую чемпиона мира по го Ли Седоля?",2016,AI и ML
Сколько примерно нейронов в человеческом мозге (в миллиардах)?,86,AI и ML
В каком году была основана компания OpenAI?,2015,AI и ML
Сколько языков понимает ChatGPT?,95,AI и ML
"В каком году вышел фильм ""Терминатор"" с искусственным интеллектом Скайнет?",1984,AI и ML
Сколько законов робототехники сформулировал писатель Айзек Азимов?,3,AI и ML
Сколько примерно сотрудников было в OpenAI в начале 2023 года?,375,AI и ML
В каком году компания NVIDIA выпустила первую видеокарту с поддержкой CUDA?,2006,AI и ML
В каком году ИИ впервые в истории победил действующих чемпионов мира по киберспорту в игре Dota 2?,2019,AI и ML
Сколько методов в интерфейсе ошибки Golang?,1,Go
Сколько методов в интерфейсе io.Reader в Golang?,1,Go
Сколько байт занимает тип int на 64‑битной системе в Go?,8,Go
Сколько байт занимает пустая структура в Go?,0,Go
"Сколько значений возвращает strconv.Atoi(string) (int, error) в Go?",2,Go
Сколько байт выделяется для начального стека новой горутины (по умолчанию в современных версиях Go)?,2048,Go
"Сколько горутин гарантированно выполняется в программе Go, даже если не создавать их явно?",1,Go
Сколько методов содержит пустой интерфейс interface{} в Go?,0,Go
Сколько уровней изоляции транзакций определено в стандарте SQL?,4,Go
"Сколько символов (байт) может содержать идентификатор (имя таблицы, столбца) в PostgreSQL (максимальная длина)?",63,Go
Сколько байт занимает тип данных bigint в PostgreSQL?,8,Go
Сколько индексов создаётся автоматически при определении PRIMARY KEY?,1,Go
Сколько лет языку Python в 2026 году?,35,Общие
В каком году появился Git?,2005,Общие
Сколько символов в UUID?,36,Общие
Сколько портов существует в TCP/IP?,65535,Общие
Сколько секунд в сутках?,86400,Общие
Сколько миллисекунд в секунде?,1000,Общие
В каком году появился ChatGPT?,2022,Общие
Сколько принятых отчетов на BugBounty Wildberries & Russ (RWB)?,1539,ИБ
В каком году был найден первый баг?,1947,ИБ
Когда был релизнут Kali Linux?,2013,ИБ
Сколько охват за последние 30 дней на хабре у блога RWB?,16000,ИБ
Какое место в рейтинге компаний заняли Wildberries & Russ (RWB) в 2025 года в категории более 5000 сотрудников?,13,ИБ
Сколько позиций в топе OWASP TOP X?,10,ИБ
Когда последний раз выходил OWASP TOP 10?,2025,ИБ
Каждые сколько лет выходит OWASP TOP 10?,4,ИБ
Сколько направлений подготовки по бекенду в WB Техношколе?,2,ИБ
Идентификатор CWE для уязвимости XSS?,79,ИБ
Идентификатор CWE для уязвимости SQLi?,89,ИБ
Идентификатор CWE для уязвимости Cross-Site Request Forgery (CSRF)?,352,ИБ
Идентификатор CWE для уязвимости Missing Authorization?,862,ИБ
Идентификатор CWE для уязвимости Out-of-bounds Write?,787,ИБ
Идентификатор CWE для уязвимости Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')?,22,ИБ
Идентификатор CWE для уязвимости Server-Side Request Forgery (SSRF)?,918,ИБ
Сколько видов подписи поддерживает Git?,2,ИБ
По какому порту работает SSH?,22,ИБ
Код попытки доступа к объекту в Windows?,4663,ИБ
Код успешного завершения программы в Linux,0,ИБ
В каком году был зарелизен Golang?,2009,Go
Сколько ключевых слов в Golang?,25,Go
В какой версии были добавлены дженерики (для 1.23 запишите 123)?,118,Go
Сколько человек основали Golang?,3,Go
"Какая емкость (capacity) для пустого слайса make([]int, 0, 10)?",10,Go
"Что вернет len(""Go"")?",2,Go
Сколько параметров принимает встроенная функция new?,1,Go
Сколько встроенных целочисленных знаковых типов есть в Golang?,5,Go
"Сколько раз выполнится отложенный вызов (defer), если функция завершится через panic, который не будет перехвачен внутри неё?",1,Go
Сколько встроенных типов в Go могут хранить произвольное количество элементов?,3,Go
Сколько голов внимания использует базовая модель BERT-base?,12,ML
Какова размерность скрытого пространства (hidden size) у BERT-base?,768,ML
Сколько слоёв содержит BERT-base?,12,ML
Сколько параметров примерно имеет BERT-base? (в миллионнах),110,ML
Какой размер патча используется в модели ViT-B/16?,16,ML
Сколько слоёв содержит GPT-2 Small?,12,ML
Сколько параметров примерно содержит GPT-2 Small? В миллионнах,124,ML
Сколько классов содержит датасет ImageNet-1K?,1000,ML
Сколько каналов имеет цветное изображение с прозрачностью?,4,ML
Какое значение IoU соответствует идеальному совпадению предсказания и истинной разметки?,1,ML
Какое значение precision может принимать максимум?,1,ML
Сколько параметров примерно содержит модель ResNet-50? В миллионнах,25,ML
Какова размерность эмбеддингов в BERT-base?,768,ML
Сколько слоёв содержит ResNet-50?,50,ML
Какой размер ядра чаще всего используется в первых версиях YOLO для предсказания bounding boxes? (указать размер сетки S×S),7,ML
Сколько голов внимания содержит GPT-2 Small?,12,ML
Сколько параметров примерно содержит модель ViT-B/16? (в миллионнах),86,ML
Сколько классов имеет датасет COCO для object detection?,80,ML
Какое значение recall соответствует идеальному Recall?,1,ML
Какова стандартная размерность векторов Word2Vec в классических примерах и статьях?,300,ML
Максимальная атака на ресурсы RWB в RPS (в миллионах)?,8,WB
Максимальная атака на ресурсы RWB в PPS (в Mpps)?,72,WB
Максимальная атака на ресурсы RWB в BPS (в Gbps)?,784,WB
Сколько у WB собственных ЦОДов?,3,WB
В каком году был запущен первый ЦОД WB?,2023,WB
Сколько серверных стоек в первом собственном ЦОДе WB?,288,WB
Сколько мессенджеров (минимум) использовалось в IT подразделениями компании с 2013 по 2026г?,7,WB
В каком году был пробит 1млн заказов в сутки на черную пятницу?,2019,WB
Какое количество тесткейсовв на iOS и Android у мобильного приложения WB?,63011,WB
Сколько рабочих дней идет регресс в мобильном приложении WB?,3,WB
Какое количество тестировщиков участвует в выпуске мобильного приложения WB на Android и iOS?,427,WB
В топ-список скольки крупнейших операторов рекламы вне дома в мире входит Группа Russ?,7,Russ
В каком году началась история Группы Russ?,1994,Russ
Какая минимальная длительность в секундах рекламного креатива на цифровых экранах в ПВЗ Wildberries?,10,Russ
Сколько секунд чаще всего длится рекламный ролик на цифровых билбордах?,5,Russ
Сколько примерно миллиардов IPv4-адресов может существовать?,4,ИБ
